"city","tag","date","time","notes"
"986","112100172415","2017-06-15","14:36:45",NULL
"986","112100172598","2017-06-15","14:17:52",NULL
"986","112100163700","2017-06-15","14:02:31",NULL
"986","112100166309","2017-06-15","13:33:31",NULL
"986","112100165002","2017-06-15","13:03:24",NULL
"986","112100172095","2017-06-15","12:56:04",NULL
"986","112100164084","2017-06-15","12:51:05",NULL
"986","112100172739","2017-06-15","10:51:32",NULL
"986","112100165101","2017-06-15","10:48:07",NULL
"986","112100174417","2017-06-15","09:35:30",NULL
"986","112100175107","2017-06-15","09:16:38",NULL
"982","000411818532","2017-06-13","09:50:52",NULL
"985","153000403071","2017-06-13","08:50:23",NULL
"986","112100172380","2017-06-13","08:45:47",NULL
"982","000411818447","2017-06-13","08:27:55",NULL
"982","000411818545","2017-06-12","10:39:01",NULL
"985","153000403433","2017-06-12","10:35:06",NULL
"982","000411818597","2017-06-12","09:46:42",NULL
"982","000411818610","2017-06-12","09:07:05",NULL
"986","112100175372","2017-06-12","08:50:03",NULL
"986","112100164819","2017-06-15","09:39:41",NULL
"982","000411818478","2017-06-12","08:45:24",NULL
"985","153000406073","2017-06-12","08:36:02",NULL
"985","153000407635","2017-06-11","14:17:15",NULL
"982","000411818448","2017-06-11","14:00:27",NULL
"982","000411818523","2017-06-11","13:54:33",NULL
"986","112100173549","2017-06-11","13:38:52",NULL
"986","112100163993","2017-06-15","11:13:44",NULL
"986","112100164932","2017-06-11","13:34:44",NULL
"982","000411818471","2017-06-11","14:23:44",NULL
"985","153000404875","2017-06-11","13:20:45",NULL
"982","000411818554","2017-06-11","13:16:38",NULL
"982","000411818724","2017-06-11","11:30:03",NULL
"985","153000400875","2017-06-11","11:10:05",NULL
"982","000411818454","2017-06-11","11:06:10",NULL
"982","000411818583","2017-06-11","10:53:10",NULL
"985","153000401598","2017-06-11","10:43:08",NULL
"982","000411818704","2017-06-11","10:35:32",NULL
"985","153000403952","2017-06-11","10:13:42",NULL
"986","112100169415","2017-06-11","09:51:57",NULL
"982","000411818457","2017-06-11","09:47:49",NULL
"982","000411818477","2017-06-11","09:44:21",NULL
"986","112100172405","2017-06-11","09:39:22",NULL
"986","112100172566","2017-06-11","09:33:46",NULL
"986","112100165961","2017-06-11","09:28:59",NULL
"982","000411818726","2017-06-11","11:12:14",NULL
"982","000411818464","2017-06-11","09:26:21",NULL
"982","000411818548","2017-06-10","15:17:33",NULL
"986","112100171999","2017-06-10","15:13:18",NULL
"986","112100173500","2017-06-10","14:52:17",NULL
